iter	Passed	Remaining
0	2	238
1	4	198
2	5	179
3	6	161
4	8	157
5	9	153
6	11	149
7	12	147
8	14	144
9	16	149
10	18	148
11	19	145
12	20	140
13	22	136
14	23	131
15	24	127
16	25	123
17	26	119
18	27	115
19	27	111
20	28	107
21	29	103
22	30	101
23	31	98
24	31	95
25	32	92
26	33	89
27	34	87
28	34	84
29	35	82
30	36	80
31	36	78
32	37	76
33	38	74
34	39	72
35	39	70
36	40	68
37	41	67
38	41	65
39	42	63
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	46	54
46	47	53
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	50	45
53	51	43
54	51	42
55	52	41
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	61	26
70	62	25
71	63	24
72	63	23
73	64	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	67	16
80	68	15
81	68	15
82	69	14
83	69	13
84	70	12
85	71	11
86	71	10
87	72	9
88	72	9
89	73	8
90	74	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	78	0
99	79	0
