iter	Passed	Remaining
0	235	235579
1	236	118211
2	237	79018
3	239	59598
4	246	48956
5	247	40934
6	247	35177
7	248	30846
8	251	27637
9	251	24946
10	252	22727
11	253	20869
12	254	19303
13	259	18263
14	260	17137
15	261	16103
16	262	15186
17	263	14366
18	264	13632
19	264	12971
20	265	12373
21	266	11835
22	267	11368
23	271	11042
24	272	10642
25	273	10251
26	274	9890
27	275	9554
28	275	9238
29	276	8942
30	277	8665
31	277	8407
32	279	8188
33	280	7964
34	281	7755
35	288	7716
36	289	7527
37	291	7392
38	294	7244
39	294	7076
40	295	6909
41	296	6764
42	307	6834
43	308	6700
44	309	6562
45	310	6439
46	311	6325
47	313	6222
48	315	6115
49	316	6008
50	316	5896
51	317	5787
52	318	5682
53	322	5643
54	323	5560
55	324	5469
56	325	5379
57	325	5291
58	326	5205
59	326	5122
60	327	5041
61	328	4963
62	328	4888
63	329	4815
64	329	4744
65	330	4675
66	330	4608
67	331	4548
68	332	4485
69	334	4439
70	336	4409
71	338	4356
72	339	4307
73	339	4253
74	341	4211
75	343	4177
76	344	4127
77	344	4076
78	345	4027
79	345	3978
80	346	3931
81	347	3885
82	348	3845
83	350	3820
84	351	3783
85	352	3746
86	353	3706
87	354	3670
88	354	3631
89	355	3592
90	355	3554
91	356	3521
92	357	3488
93	358	3454
94	359	3420
95	359	3387
96	360	3354
97	360	3322
98	364	3320
99	365	3293
100	366	3263
101	367	3233
102	368	3207
103	370	3190
104	372	3171
105	373	3146
106	373	3119
107	374	3092
108	378	3092
109	379	3067
110	379	3043
111	381	3021
112	381	2996
113	382	2972
114	383	2950
115	384	2926
116	384	2902
117	385	2878
118	385	2855
119	386	2832
120	386	2810
121	387	2787
122	387	2765
123	388	2744
124	388	2722
125	389	2704
126	391	2694
127	393	2682
128	394	2664
129	395	2645
130	395	2626
131	396	2608
132	397	2593
133	398	2577
134	399	2559
135	399	2541
136	400	2523
137	401	2505
138	401	2487
139	402	2470
140	402	2453
141	403	2435
142	403	2419
143	405	2410
144	407	2400
145	409	2392
146	409	2378
147	410	2363
148	411	2349
149	411	2334
150	412	2319
151	413	2304
152	413	2290
153	414	2275
154	414	2261
155	415	2247
156	416	2233
157	416	2219
158	417	2206
159	417	2192
160	418	2178
161	418	2165
162	421	2166
163	423	2158
164	424	2147
165	425	2136
166	426	2125
167	426	2113
168	427	2103
169	428	2092
170	429	2081
171	430	2070
172	430	2059
173	431	2048
174	432	2037
175	432	2026
176	436	2028
177	438	2023
178	439	2014
179	440	2006
180	442	2002
181	443	1994
182	445	1987
183	446	1979
184	447	1972
185	454	1988
186	455	1979
187	456	1971
188	457	1963
189	458	1955
190	459	1946
191	460	1938
192	461	1929
193	462	1921
194	463	1912
195	466	1914
196	467	1906
197	468	1898
198	469	1890
199	470	1882
200	471	1874
201	472	1867
202	473	1859
203	474	1852
204	475	1844
205	476	1837
206	479	1836
207	481	1834
208	482	1826
209	483	1820
210	485	1813
211	485	1806
212	490	1810
213	491	1804
214	496	1811
215	497	1805
216	498	1798
217	499	1790
218	500	1785
219	501	1779
220	502	1772
221	504	1767
222	505	1759
223	506	1753
224	510	1758
225	511	1750
226	512	1743
227	512	1736
228	513	1729
229	514	1722
230	515	1714
231	515	1707
232	516	1700
233	517	1693
234	518	1687
235	519	1682
236	520	1675
237	521	1670
238	529	1684
239	530	1679
240	531	1675
241	532	1669
242	533	1663
243	534	1657
244	535	1650
245	536	1645
246	544	1659
247	545	1654
248	546	1648
249	547	1642
